Date,HDFCBANK,ICICIBANK,INFY,NIFTY50,NIFTYMIDCAP50,RELIANCE,TCS
2020-01-07,,,,,,,
2020-01-08,,,,,,,
2020-01-09,,,,,,,
2020-01-10,,,,,,,
2020-01-13,,,,,,,
2020-01-14,,,,,,,
2020-01-15,,,,,,,
2020-01-16,,,,,,,
2020-01-17,,,,,,,
2020-01-20,,,,,,,
2020-01-21,,,,,,,
2020-01-22,,,,,,,
2020-01-23,,,,,,,
2020-01-24,,,,,,,
2020-01-27,,,,,,,
2020-01-28,,,,,,,
2020-01-29,,,,,,,
2020-01-30,,,,,,,
2020-01-31,,,,,,,
2020-02-03,,,,,,,
2020-02-04,0.013340719684738904,0.014350453042236115,0.015224365081620865,0.00953738299025146,0.009203595550577844,0.016780563273590243,0.012539177662864795
2020-02-05,0.013139452483733965,0.014647599928146227,0.01476343026152571,0.00968719315414644,0.009383507123089291,0.016786231813044276,0.01326797330153434
2020-02-06,0.013152265492184574,0.014632177460577158,0.014986446464440625,0.009705924415977155,0.009410934831071157,0.016849928156227083,0.01221685817589916
2020-02-07,0.01288926123989579,0.012160108329501767,0.01486270014136894,0.009075505958518991,0.00887455131247661,0.016162705978762827,0.011744947502395632
2020-02-10,0.012685835890869565,0.011967423616188582,0.014735339516362647,0.009096391387468766,0.009372395338846358,0.016183208593099168,0.012104141984680673
2020-02-11,0.012657716793718653,0.012202632774891831,0.010608988483495268,0.009112225316815213,0.009271221825736805,0.0165314726753801,0.011929340545856005
2020-02-12,0.012758378931295864,0.012767888907984155,0.010803866122413906,0.00927366397842381,0.009150760421414933,0.01677052721321889,0.01194697390236924
2020-02-13,0.01278629680489569,0.013220408641829816,0.010912161715131593,0.009277868860835587,0.00881808481792701,0.016793199585150676,0.011976199736305123
2020-02-14,0.013223802614059131,0.013337731058184308,0.01107450420402069,0.009317646009298214,0.008759141880459988,0.01679017076876771,0.011911197706739228
2020-02-17,0.013178341148811572,0.01327337234702768,0.011089131224807439,0.009370797893632318,0.008844400666232011,0.015413658183309331,0.01195329696182628
2020-02-18,0.012661529004145185,0.013238355326411077,0.011260469329873032,0.0091660343289339,0.008739755306670602,0.014061877511780937,0.010890859373350667
2020-02-19,0.01286621345708974,0.013178984037606799,0.011049237990177038,0.009485386857130981,0.00951426026692442,0.01520647374984848,0.011102765455077646
2020-02-20,0.012966375731726586,0.012613131481985045,0.010991006313855313,0.009452020382511899,0.009559863202586128,0.015393096134573531,0.011216372249090728
2020-02-24,0.012973388052210363,0.014504487978117955,0.010325526624592584,0.010373425318234616,0.01023719746547675,0.016440752189856866,0.011894394511898861
2020-02-25,0.01305054193495388,0.014277643878547758,0.010319448799669607,0.010252415205076578,0.009955601272839603,0.01687107534284757,0.012715701425375033
2020-02-26,0.011858015446542369,0.01448463225385846,0.011187469503219848,0.010234052906590116,0.01022162680066782,0.017092204750769422,0.01305538350489059
2020-02-27,0.011689640992373197,0.01443606541263525,0.011278952372561971,0.010215410941689177,0.010314716135557128,0.01649403156990572,0.013030501183955507
2020-02-28,0.011981307247640688,0.016293209584923734,0.01700777820203157,0.01272402445140519,0.012974476137858147,0.01847893717271902,0.016807861258902775
2020-03-02,0.011937677990972884,0.01665067129763294,0.017266812823394317,0.012704093962649751,0.013026051487674235,0.017964195069169586,0.016801077905690773
2020-03-03,0.011957353834773912,0.01699741546650523,0.017392659802505064,0.013338212963916993,0.01405452382896046,0.01822206197643787,0.016360564282867637
2020-03-04,0.012020661616267744,0.016688090493158513,0.017654517006815026,0.012640524137284842,0.013955346667759251,0.01783513337360746,0.01697778856331307
2020-03-05,0.009543785592907113,0.015271398161175216,0.016567481607231618,0.011333767021847485,0.013411691726926231,0.016874953293638566,0.017543044275244488
2020-03-06,0.009181058592326341,0.016407409012629215,0.017071935198110545,0.011962955784833043,0.013884969108141697,0.017248755120300458,0.01707713241512048
2020-03-09,0.010183762352722515,0.020240197666156555,0.019501261948789962,0.015383477105621187,0.01686802816919115,0.03211676214338774,0.02287563949813468
2020-03-11,0.010358945085793787,0.020962020906298888,0.019874361783012533,0.015456525041504156,0.016638048278811088,0.03372669952043239,0.02284309564495796
2020-03-12,0.020531034988039907,0.027695127381915548,0.026063352039600515,0.023259411348461632,0.02398379660329693,0.037000951342493406,0.030445076835148025
2020-03-13,0.023806989710531776,0.03035211322516794,0.02665349294520345,0.025298159033149813,0.02634135249074761,0.03840889800517891,0.031123755709845862
2020-03-16,0.02700940410862986,0.036131354865398535,0.032436932234372905,0.029181437959146135,0.029394513874586584,0.04095743645799298,0.03303475788655954
2020-03-17,0.02715901852710842,0.039931224990060916,0.032655618961575074,0.02917195898325083,0.02934265824438496,0.04076526387686054,0.03274077269875003
2020-03-18,0.034131223730062686,0.03955667915255673,0.03288670656725512,0.03050841412791514,0.030502922114612103,0.040534607690535795,0.03276250630623177
2020-03-19,0.03495072063115446,0.03986939208024513,0.03366270641281517,0.030433123022088348,0.03084687393698062,0.041031655440469536,0.03245854821000186
2020-03-20,0.034853498866973795,0.04072688839904487,0.038349839464294065,0.034448369580234346,0.03467451930232169,0.04940693406006088,0.03995277116699534
2020-03-23,0.04294157687711521,0.055289288591058555,0.04289643091141511,0.04321824542619615,0.04607739021812082,0.05524509427035461,0.042327880923248656
2020-03-24,0.04299997854954816,0.05715193251273187,0.05183578207476782,0.04426102645905582,0.04685132145999799,0.058621524921652436,0.042891403712689805
2020-03-25,0.05168563344103656,0.0608347281132041,0.05257243106884843,0.04798724539898118,0.049181130283104973,0.0680627676246689,0.043633073233247596
2020-03-26,0.05369861786498297,0.06227399152139015,0.05478925093395133,0.04939397603315049,0.050495888959963424,0.06804875024118176,0.043763694413162545
2020-03-27,0.05376246638003287,0.06325540816103306,0.05501307219364071,0.04952542715049894,0.050586352018848216,0.06810005521047906,0.044123384235609214
2020-03-30,0.05579155829796044,0.06459712029579134,0.055448501027631124,0.04990012409730217,0.05056574823040893,0.06821689248777643,0.044310767955287926
2020-03-31,0.05698269641157617,0.06566734037977022,0.054632180846462965,0.05096459219360005,0.050998435412851505,0.07071772262062852,0.0437262047613748
2020-04-01,0.057067456168385176,0.06519536395222034,0.05576650490211603,0.051306067794744,0.05102899772353191,0.07088017411797924,0.04577271427054658
2020-04-03,0.056908716156167875,0.0657253986580431,0.05575602065154731,0.05087246028523322,0.05027779999756508,0.07057966860007504,0.04573006569029117
2020-04-07,0.06201917507992663,0.07409450273761867,0.05955239248794604,0.055340312695034526,0.05334562624470741,0.07554148682109743,0.04852388297291501
2020-04-08,0.06194375892632044,0.07402957364692571,0.059553635681493425,0.05527976892137179,0.053703496432470924,0.07546393058094161,0.04861014916117524
2020-04-09,0.06297583575889908,0.07668105168400517,0.05957710571126026,0.05635608401726609,0.05489473808806043,0.0754358277601858,0.04959012656220269
2020-04-13,0.06309469216393841,0.07615964410812454,0.05886242356279846,0.05557333045931477,0.054112400169902694,0.06964013191694832,0.04749576081034859
2020-04-15,0.06323450874241128,0.07580824205430808,0.05866646066400717,0.05554446374491988,0.054366112456949806,0.0696843954080867,0.04752488437593343
2020-04-16,0.06117277281787752,0.07497379599056392,0.05599821178241425,0.05255881716901419,0.0515890233987146,0.06717870092181545,0.042480205928115695
2020-04-17,0.06069332266207046,0.07731993415305938,0.05588171205051416,0.05230002287766752,0.05119604492600132,0.06739934350349902,0.043772846977851936
2020-04-20,0.05980462491634442,0.07452115019069874,0.05195240622933321,0.04933548604816485,0.04875765783886052,0.06422817441133286,0.041321439434482424
2020-04-21,0.059807317132335315,0.07409132300702034,0.051130549538000634,0.04948927083595461,0.04912143310260566,0.06419793673474315,0.04233331865677588
2020-04-22,0.05491930618660198,0.07387270197315894,0.05012967844930846,0.047913170052465225,0.04764506987023965,0.06583919754480419,0.04245156489945669
2020-04-23,0.055055659470291334,0.07395228628549763,0.051163238204014264,0.047503728927434624,0.04663693196308432,0.06392383419912806,0.04412810830149086
2020-04-24,0.05511741644509986,0.07474877251246069,0.05004045813722454,0.046259583088454265,0.045742758439502935,0.06104577655396898,0.04004401063853536
2020-04-27,0.045386946458809384,0.06026860902829273,0.043044332860133996,0.03307647090153236,0.026779153636942474,0.04945998904375759,0.03626765378961095
2020-04-28,0.04530690402944672,0.06004457846109803,0.03616074252030741,0.03289260029957327,0.026663104678697036,0.048745900546859434,0.03614411863671036
2020-04-29,0.04016259148190532,0.05879928616715131,0.036056441425827285,0.03046463632282645,0.025441005176516783,0.040753765863687105,0.03606668532349325
2020-04-30,0.03913117753786021,0.05845102087200703,0.03584116256393306,0.030155850115912194,0.024857815607612275,0.04033292867678821,0.037588283868153424
2020-05-04,0.04349575442763575,0.0641198698387941,0.03846232129739676,0.033372261251904546,0.027511584512970835,0.04098290197174373,0.03888064811888421
2020-05-05,0.03909875559089555,0.061638979680090605,0.037237963905196,0.03167339179864045,0.026733209707362423,0.03949792269056497,0.03834431907222712
2020-05-06,0.03917712811895601,0.06161271394072761,0.037085568819010976,0.03079671049119333,0.026633720027158046,0.03704869317800738,0.038200928844283555
2020-05-07,0.03848291584662882,0.06098003506479297,0.03409168834886425,0.0292174619160052,0.025750890052838923,0.035869059027161754,0.034931387392258574
2020-05-08,0.0380769464336948,0.05773716905630523,0.03325894144372135,0.028605375763685232,0.025158655197123805,0.03585426773806977,0.033893989768363796
2020-05-11,0.032207480769706025,0.05203687319735815,0.02777989704738878,0.022428102387195226,0.021791246616540548,0.02847963721746053,0.030809823970396725
